"Titel";"ISBN";"Verfasser";"PPN";"Jahr"
"[Theorie und Praxis - Österreichische Beiträge zu Deutsch als Fremdsprache / A] Theorie und Praxis - Österreichische Beiträge zu Deutsch als Fremdsprache : Publikationsorgan der Wissenschaftlichen Gesellschaft zur Förderung des Deutschen als Fremdsprache - Schwerpunkt: (Kindlicher) Fremdsprachenerwerb. - 4.2000";"9783706515337";"Hans Jürgen Krumm und Paul R. Portmann-Tselikas (Hrsg.)";"502775718";"2000";
"Endlich wieder Spaß am Lesen : handlungs- und produktionsorientierter Leseunterricht in der Hauptschule, 5. - 7. Jahrgangsstufe ; Tipps, Anregungen, unterrichtspraktische Beispiele und Kopiervorlagen";"3932849477";"Brigitte Uretschläger";"32151176X";"2000";
"Wortstark : Themen und Werkstätten für den Deutschunterricht. - 10, [Hauptbd.].";"3507418207";"";"1158607598";"2000";
"Schule im Gespräch : Kommunikation und Beziehungen";"3891110189";"Reinhold Miller";"1158672063";"2000";
"[¬Das¬ [Büroklammer]-Projekt] ¬Das¬ -Projekt : Schüler schaffen ein Holocaust-Mahnmal";"3570146073";"Peter W. Schroeder; Dagmar Schroeder-Hildebrand";"1614876304";"2000";
"Selbst-Wert-Gefühl : praktische Unterrichtsvorschläge und Übungen zur Förderung des Selbstwertgefühls. - 5/6. 1. Aufl";"3-403-03427-5";"Tanya Dalgleish";"1158905149";"2000";
"Chemie - rund um die Nährstoffe : Arbeitsblätter mit Lösungen; [Experimentieranleitungen]";"3-403-03301-5";"Andreas Pietzsch";"32491010X";"2000";
"Mein heiß geliebter Teddybär : nach klassischen Vorbildern selbst genäht ; [mit Schnittmustern in Originalgröße]";"3332010972";"Alicia Merrett und Ann Stephens. [Übers. ins Dt.: Regine Felsch]";"31203220X";"2000";
"Lebenswelt Mensch : Entwicklung, Ernährung, Gesundheit. Materialien für den Sachunterricht";"3780020122";"[Red.: Barbara Dulitz ...]";"1615284648";"2000";
"[Erziehung und Unterricht / Sonderheft] Erziehung und Unterricht : österreichische pädagogische Zeitschrift - Schulpartnerschaften : Comenius 1; Schritt für Schritt zu einer erfolgreichen Projektantragstellung. - 2000,9/10";"3209035229";"[Red.: Sylvia Parzer]";"1615479406";"2000";
"Lernchancen im Kunstunterricht : [Förderung, Erziehung und Therapie durch ästhetische Praxis]";"3-617-92236-8";"[zsgest. und hrsg. von Barbara Wichelhaus; Bettina Uhlig]";"1159587256";"2000";
